fundoo,base,be,50734,Mon Nov  5 03:15:35 2018,['9321104831927'],"['Thuis', 'Baby & peuter', '0-maanden', '0m Grijp & bijt']",7.99,6.79,
fundoo,base,be,34634,Mon Nov  5 03:15:39 2018,['8711295730511'],"['Thuis', 'Communie', 'Wit feest']",12.99,,,
fundoo,base,be,27093,Mon Nov  5 03:15:38 2018,['8712364663754'],"['Thuis', 'Kinderfeest', 'Pinata', 'Pinatas']",14.99,,,
fundoo,base,be,64973,Mon Nov  5 03:15:39 2018,['4008789094247'],['Thuis'],14.99,12.74,
fundoo,base,be,19752,Mon Nov  5 03:15:40 2018,['5414233027553'],['Thuis'],6.99,3.5,
fundoo,base,be,30682,Mon Nov  5 03:15:41 2018,['0000042027584'],['Thuis'],1.99,1.69,
fundoo,base,be,49284,Mon Nov  5 03:15:41 2018,['3417761198230'],"['Thuis', 'Vtech']",8.99,7.64,
fundoo,base,be,73463,Mon Nov  5 03:15:41 2018,['4010070390907'],['Thuis'],19.95,,,
fundoo,base,be,57743,Mon Nov  5 03:15:41 2018,['8008285096116'],['Thuis'],2.79,,,
fundoo,base,be,33957,Mon Nov  5 03:15:43 2018,['8711245139500'],['Thuis'],24.99,,,
fundoo,base,be,31281,Mon Nov  5 03:15:43 2018,['5019068083035'],['Thuis'],3.49,,,
fundoo,base,be,33138,Mon Nov  5 03:15:43 2018,['8712364307795'],"['Thuis', 'Verkleden', 'Accessoires', 'Collant, Netkousen en Rokjes']",19.99,,,
fundoo,base,be,33908,Mon Nov  5 03:15:43 2018,['4260195383050'],"['Thuis', 'Buitenspeelgoed']",39.99,33.99,
fundoo,base,be,24183,Mon Nov  5 03:15:43 2018,['5414375153370'],"['Thuis', 'Baby & peuter', 'Baby Slaapt', 'Bedtextiel']",59.99,,,
fundoo,base,be,36485,Mon Nov  5 03:15:43 2018,['5010994968793'],"['Thuis', 'Zwembaden', 'Waterspeelgoed', 'Waterpistolen']",23.99,,,
fundoo,base,be,66353,Mon Nov  5 03:15:43 2018,['3307216036005'],['Thuis'],29.99,,,
fundoo,base,be,66053,Mon Nov  5 03:15:45 2018,['8719214423858'],"['Thuis', '999 Games']",24.99,21.24,
fundoo,base,be,40232,Mon Nov  5 03:15:45 2018,['8712364294880'],"['Thuis', 'Verkleden', 'Kinderen', 'Tv en film']",21.99,,,
fundoo,base,be,27136,Mon Nov  5 03:15:45 2018,['8710653102106'],['Thuis'],1.49,,,
fundoo,base,be,24895,Mon Nov  5 03:15:46 2018,['8710341022280'],['Thuis'],6.49,,,
fundoo,base,be,33433,Mon Nov  5 03:15:46 2018,['5425007419603'],"['Thuis', 'Baby & peuter', 'Baby Slaapt', 'Babymatrassen']",44.99,,,
fundoo,base,be,63128,Mon Nov  5 03:15:47 2018,['5410574452689'],['Thuis'],7.99,,,
fundoo,base,be,14398,Mon Nov  5 03:15:48 2018,['5411401004859'],['Thuis'],6.49,,,
fundoo,base,be,32820,Mon Nov  5 03:15:48 2018,['5060427620644'],"['Thuis', 'Baby & peuter', 'Baby op stap', 'Draagmanden']",258.99,,,
fundoo,base,be,63058,Mon Nov  5 03:15:49 2018,['4010070350901'],['Thuis'],9.95,,,
fundoo,base,be,47460,Mon Nov  5 03:15:51 2018,['3661787003102'],"['Thuis', 'Baby & peuter', 'Baby op stap', 'Parasols']",16.99,,,
fundoo,base,be,2210,Mon Nov  5 03:15:50 2018,['0078257280032'],"['Thuis', 'Zwembaden', 'Zwembad onderhoud', 'Zwembadreinigers manueel']",59.99,,,
fundoo,base,be,27314,Mon Nov  5 03:15:51 2018,['0048419269748'],"['Thuis', 'Volwassen feest', 'Leeftijden', '30 jaar']",5.99,,,
fundoo,base,be,24654,Mon Nov  5 03:15:52 2018,['5702015352789'],"['Thuis', 'LEGO', 'LEGO Elves']",54.99,,,
fundoo,base,be,29991,Mon Nov  5 03:15:52 2018,['8005125391882'],['Thuis'],14.99,,,
fundoo,base,be,67595,Mon Nov  5 03:15:52 2018,['4001167822265'],"['Thuis', 'Poppen', 'Baby Born']",19.99,16.99,
fundoo,base,be,62180,Mon Nov  5 03:15:53 2018,['8715347728495'],"['Thuis', 'Buitenspeelgoed', 'Fietsjes', 'Kinderfietsen']",469.99,399.49,
fundoo,base,be,59894,Mon Nov  5 03:15:53 2018,['8712412676378'],"['Thuis', 'Baby & peuter', 'Baby veilig thuis', 'Babyfoons']",119.99,101.99,
fundoo,base,be,57482,Mon Nov  5 03:15:54 2018,['5411401170257'],['Thuis'],18.99,,,
fundoo,base,be,42926,Mon Nov  5 03:15:55 2018,['8714572656054'],"['Thuis', 'Speelfiguren', 'Speelfiguren Meisjes', 'k3']",2.99,,,
fundoo,base,be,17430,Mon Nov  5 03:15:56 2018,['3760125260501'],"['Thuis', 'Baby & peuter', 'Baby Slaapt', 'Nachtlampjes']",15.99,,,
fundoo,base,be,36250,Mon Nov  5 03:15:57 2018,['5010994942601'],['Thuis'],21.99,18.69,
fundoo,base,be,12746,Mon Nov  5 03:15:57 2018,['4005556007899'],"['Thuis', 'Tiptoi']",49.99,42.49,
